mp_id,formula,composition,crystal_system,symmetry_symbol,volume,density,e_fermi,formation_energy_per_atom,band_gap,bandgap_direct
mp-1080689,LuTe3,"{'Lu': 1, 'Te': 3}",Orthorhombic,Cmcm,239.5696752185441,7.7321463387665785,5.68700762,-1.1453571512499998,0.0,False
mp-10992,DyCuAs2,"{'Dy': 1, 'Cu': 1, 'As': 2}",Tetragonal,P4/nmm,148.49999823085756,8.40644725588043,5.78056603,-0.8195739587499995,0.0,False
mp-1097,TaB,"{'Ta': 1, 'B': 1}",Orthorhombic,Cmcm,45.03501537912535,14.141134800413857,7.93101406,-0.8128741745833317,0.0,False
mp-1067935,Ho2SbO2,"{'Ho': 2, 'Sb': 1, 'O': 2}",Tetragonal,I4/mmm,95.87461553631186,8.376241917580964,5.30138856,-3.0485352275000013,0.0,False
mp-1080452,KCd4As3,"{'K': 1, 'Cd': 4, 'As': 3}",Trigonal,R-3m,211.97037167988503,5.589490665401825,1.89284436,-0.24760727475000044,0.0,False
mp-1077903,Tl2Pd3Se2,"{'Tl': 2, 'Pd': 3, 'Se': 2}",Trigonal,R-3m,149.49367986314525,9.840877163290209,4.61634945,-0.47978810447916637,0.0,False
mp-1078911,TmSnPd,"{'Tm': 1, 'Sn': 1, 'Pd': 1}",Hexagonal,P-62m,189.58215925687423,10.354756238965129,6.59956372,-0.9236962427777774,0.0,False
mp-1095573,NbCoSi,"{'Nb': 1, 'Co': 1, 'Si': 1}",Orthorhombic,Pnma,159.18164189160794,7.5077154010480465,7.22888561,-0.7072887575000001,0.0,False
mp-1079958,LuSnIr,"{'Lu': 1, 'Sn': 1, 'Ir': 1}",Hexagonal,P-62m,181.3833029335072,13.344877221510071,7.10195009,-0.8538764572222214,0.0,False
mp-1070857,NdSiNi4,"{'Nd': 1, 'Si': 1, 'Ni': 4}",Orthorhombic,Cmmm,82.73686502712624,8.170569194085324,7.05089828,-0.5477095595833331,0.0,False
mp-1061766,CeNiAs,"{'Ce': 1, 'Ni': 1, 'As': 1}",Hexagonal,P-6m2,58.314984475651684,7.794583559038235,7.86451043,-1.0212050166666664,0.0,False
mp-1077063,La2Bi,"{'La': 2, 'Bi': 1}",Tetragonal,I4/mmm,207.07700655486178,7.8071056830581265,7.59137093,-0.7768608966666672,0.0,False
mp-1080558,Nd(GeIr)2,"{'Nd': 1, 'Ge': 2, 'Ir': 2}",Tetragonal,P4/nmm,183.03729999245408,12.228439418802692,6.83903029,-0.781557257499999,0.0,False
mp-1078511,CuAsPtS2,"{'Cu': 1, 'As': 1, 'Pt': 1, 'S': 2}",Orthorhombic,Cmc2_1,178.65482767522127,7.392644704440692,6.02162916,-0.5764095212500002,0.0,False
mp-1079518,Er(SiPt)2,"{'Er': 1, 'Si': 2, 'Pt': 2}",Tetragonal,P4/nmm,169.09112327438126,12.051530919624557,7.32404479,-1.0651226310000013,0.0,False
mp-1078814,Ce2C2Cl,"{'Ce': 2, 'C': 2, 'Cl': 1}",Monoclinic,C2/c,196.10986023896604,5.752854524363822,7.70258807,-1.0155118559999992,0.0,False
mp-1078411,Sr(SnAu)2,"{'Sr': 1, 'Sn': 2, 'Au': 2}",Tetragonal,P4/nmm,251.4434816458246,9.496233313907569,5.4684819,-0.5590347913333332,0.0,False
mp-1102972,Er2Au,"{'Er': 2, 'Au': 1}",Orthorhombic,Pnma,301.1959188596647,11.720622157975088,3.89285022,-0.6512488958333336,0.0,False
mp-10881,Ce3AlN,"{'Ce': 3, 'Al': 1, 'N': 1}",Cubic,Pm-3m,118.31600198715861,6.474752646871416,7.49830826,-0.828505354,0.0,False
mp-1102732,HfSiW,"{'Hf': 1, 'Si': 1, 'W': 1}",Orthorhombic,Pnma,197.0582390117717,13.159565277906388,7.39564648,-0.6267939700000001,0.0,False
mp-1102438,SmRu2,"{'Sm': 1, 'Ru': 2}",Hexagonal,P6_3/mmc,217.5740129148603,10.761212024076636,5.67960392,-0.22020581666666672,0.0,False
mp-1103238,LuGaPd,"{'Lu': 1, 'Ga': 1, 'Pd': 1}",Orthorhombic,Pnma,222.79420581990115,10.46763078112055,4.22003688,-0.8686566816666659,0.0,False
mp-1100768,TbCdHg2,"{'Tb': 1, 'Cd': 1, 'Hg': 2}",Cubic,Fm-3m,91.62907613109293,12.18761248344935,3.5165135,-0.37701297999999994,0.0,False
mp-1101822,EuSbPd,"{'Eu': 1, 'Sb': 1, 'Pd': 1}",Orthorhombic,Pnma,286.60926543035623,8.809819347406654,5.08201813,-0.9732242800000002,0.0,False
mp-1078870,UGaRh,"{'U': 1, 'Ga': 1, 'Rh': 1}",Hexagonal,P-62m,167.69071670105,12.199470889783075,8.51093418,-0.5430467302777768,0.0,False
mp-1102373,YGeIr,"{'Y': 1, 'Ge': 1, 'Ir': 1}",Orthorhombic,Pnma,224.10761004066268,10.484910041745922,6.46575578,-0.937950055555555,0.0,False
