Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Y B 2 Cu 4 O 8,{},"{'Y': 1, 'B': 2, 'Cu': 4, 'O': 8}",80.0,0.0,,,10.1103/physrevb.75.184536
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",3.6,0.0,,,10.1103/physrevb.75.184536
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",3.6,0.0,,,10.1103/physrevb.75.184536
Ta 2 S 2 C,{},"{'Ta': 2, 'S': 2, 'C': 1}",3.6,0.0,,,10.1103/physrevb.75.184536
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1007/s10948-012-1602-5
Nb 3 Sn,{},"{'Nb': 3, 'Sn': 1}",17.8,0.0,,,10.1016/s0011-2275(03)00157-7
Mn Si,{},"{'Mn': 1, 'Si': 1}",30.0,0.0,,,10.1103/physrevb.64.052404
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1103/physrevlett.108.227002
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",38.0,0.0,,,10.1103/physrevlett.108.227002
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1063/1.1384905
Sm O 0.8 F 0.2 Fe As,{},"{'Sm': 1, 'O': 0.8, 'F': 0.2, 'Fe': 1, 'As': 1}",47.0,0.0,polycrystalline,,10.1103/physrevb.83.214505
Sm O 1-x F x Fe As,{'x': []},,45.0,0.0,single crystals,,10.1103/physrevb.83.214505
Sm O 0.8 F 0.2 Fe As,{},"{'Sm': 1, 'O': 0.8, 'F': 0.2, 'Fe': 1, 'As': 1}",47.0,0.0,polycrystalline,,10.1103/physrevb.83.214505
Pd H x,{'x': []},,9.0,0.0,,,10.12693/aphyspola.121.721
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",0.5,0.0,,,10.12693/aphyspola.121.721
Hg Ba 2 Ca 2 Cu 3 O 8-δ,{'δ': []},,138.0,0.0,,,10.12693/aphyspola.121.721
Na 1-δ Fe As,{'δ': []},,8.0,0.0,,,10.1103/physrevb.86.024437
Er,{},{'Er': 1},11.0,0.0,,,10.1103/physrevb.65.140514
Fe Se,{},"{'Fe': 1, 'Se': 1}",14.5,0.0,,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",36.7,0.0,,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",80.0,0.0,films,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",14.5,0.0,,,10.1088/0953-8984/27/18/183201
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1088/0953-8984/27/18/183201
Cs x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1088/0953-8984/27/18/183201
Tl x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1088/0953-8984/27/18/183201
(Tl Rb) x Fe 2-y Se 2,"{'x': [], 'y': []}",,32.0,0.0,,,10.1088/0953-8984/27/18/183201
K x Fe 2-y Se 2,"{'x': [], 'y': []}",,30.0,0.0,,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",30.0,0.0,,,10.1088/0953-8984/27/18/183201
Ba 0.6 K 0.4 Fe 2 As 2,{},"{'Ba': 0.6, 'K': 0.4, 'Fe': 2, 'As': 2}",35.0,0.0,,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,film,,10.1088/0953-8984/27/18/183201
Fe Se,{},"{'Fe': 1, 'Se': 1}",3.7,0.0,"bilayer, film",,10.1088/0953-8984/27/18/183201
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/1361-6668/aab8c3
Sm Fe As O 1-x F x,{'x': []},,55.0,0.0,,,
Rb 0.8 Fe 1.8 Se 2,{},"{'Rb': 0.8, 'Fe': 1.8, 'Se': 2}",31.4,0.0,,,
Sm Fe As O 0.8 F 0.2,{},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",53.0,0.0,,,10.1007/s10948-013-2358-2
Pr Fe As O 0.8 F 0.2,{},"{'Pr': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",47.0,0.0,,,10.1007/s10948-013-2358-2
Pr Fe As O 0.7,{},"{'Pr': 1, 'Fe': 1, 'As': 1, 'O': 0.7}",35.0,0.0,single crystal,,10.1007/s10948-013-2358-2
Nd Fe As O 0.8 F 0.2,{},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.8, 'F': 0.2}",48.0,0.0,,,10.1007/s10948-013-2358-2
Sr 0.1 Bi 2 Se 3,{},"{'Sr': 0.1, 'Bi': 2, 'Se': 3}",3.2,0.0,single crystals,,10.1038/s41467-019-10942-2
La 2 O 2-x F x,{'x': []},,28.0,0.0,,,10.1103/physrevlett.101.097009
Ca (Al 0.5 Si 0.5) 2,{},"{'Ca': 1, 'Al': 1.0, 'Si': 1.0}",7.7,0.0,,,10.1016/s0921-4534(02)01798-7
Ca Si 2,{},"{'Ca': 1, 'Si': 2}",14.0,0.0,,,10.1016/s0921-4534(02)01798-7
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1016/s0921-4534(02)01798-7
Na 0.5 Co O 2,{},"{'Na': 0.5, 'Co': 1, 'O': 2}",52.0,0.0,,,10.1103/physrevb.76.134510
K 0.5 C O,{},"{'K': 0.5, 'C': 1, 'O': 1}",60.0,0.0,,,10.1103/physrevb.76.134510
N 0.5 C O,{},"{'N': 0.5, 'C': 1, 'O': 1}",60.0,0.0,,,10.1103/physrevb.76.134510
K 0.5 Co O 2,{},"{'K': 0.5, 'Co': 1, 'O': 2}",20.0,0.0,,,10.1103/physrevb.76.134510
Ca Pd 2 As 2,{},"{'Ca': 1, 'Pd': 2, 'As': 2}",2.0,0.0,crystal,,10.1103/physrevb.87.224510
Ca Pd 2 As 2,{},"{'Ca': 1, 'Pd': 2, 'As': 2}",0.92,0.0,,,10.1103/physrevb.87.224510
Sr Pd 2 As 2,{},"{'Sr': 1, 'Pd': 2, 'As': 2}",1.5,0.0,,,10.1103/physrevb.87.224510
Ba Pd 2 As 2,{},"{'Ba': 1, 'Pd': 2, 'As': 2}",2.0,0.0,,,10.1103/physrevb.87.224510
Ca Pd 2 As 2,{},"{'Ca': 1, 'Pd': 2, 'As': 2}",0.45,0.0,single crystal,,10.1103/physrevb.87.224510
Ca Pd 2 As 2,{},"{'Ca': 1, 'Pd': 2, 'As': 2}",1.72,0.0,,,10.1103/physrevb.87.224510
Sr Pd 2 As 2,{},"{'Sr': 1, 'Pd': 2, 'As': 2}",1.34,0.0,,,10.1103/physrevb.87.224510
Sr Pd 2 As 2,{},"{'Sr': 1, 'Pd': 2, 'As': 2}",0.45,0.0,,,10.1103/physrevb.87.224510
Sr Pd 2 Ge 2,{},"{'Sr': 1, 'Pd': 2, 'Ge': 2}",3.0,0.0,,,10.1103/physrevb.87.224510
Ba 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.87.224510
Sr 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.87.224510
Ca 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.87.224510
Eu 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1103/physrevb.87.224510
Ca Pd 2 As 2,{},"{'Ca': 1, 'Pd': 2, 'As': 2}",1.26,0.0,,,10.1103/physrevb.87.224510
Ba Pd 2 As 2,{},"{'Ba': 1, 'Pd': 2, 'As': 2}",2.0,0.0,,,10.1103/physrevb.87.224510
Ce Co In 5,{},"{'Ce': 1, 'Co': 1, 'In': 5}",2.3,0.0,,,10.1103/physrevb.69.104504
Ce Ir In 5,{},"{'Ce': 1, 'Ir': 1, 'In': 5}",0.4,0.0,,,10.1103/physrevb.69.104504
Ca (Fe 1-x Co x) 2 As 2,{'x': []},,16.0,0.0,,,10.1103/physrevlett.118.107002
Sm Fe As O 1-x F x,{'x': [0.26]},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.74, 'F': 0.26}",58.1,0.0,,,10.1088/0953-2048/26/8/085023
Sm Fe As O 1-x F x,{'x': [0.14]},"{'Sm': 1, 'Fe': 1, 'As': 1, 'O': 0.86, 'F': 0.14}",55.0,0.0,polycrystalline,,10.1088/0953-2048/26/8/085023
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.92.054516
C 6 Ca,{},"{'C': 6, 'Ca': 1}",6.5,0.0,,,10.1038/nphys119
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1038/nphys119
C 2 Li,{},"{'C': 2, 'Li': 1}",1.9,0.0,,,10.1038/nphys119
Na,{},{'Na': 1},5.0,0.0,,,10.1038/nphys119
Nd 2-x Ce x Cu O 4,{'x': [0.15]},"{'Nd': 1.85, 'Ce': 0.15, 'Cu': 1, 'O': 4}",18.0,0.0,,,10.1103/physrevlett.90.137004
Ba Fe 2 As 2,{},"{'Ba': 1, 'Fe': 2, 'As': 2}",24.0,0.0,,,
Sr 4 V 2 O 6 Fe 2 As 2,{},"{'Sr': 4, 'V': 2, 'O': 6, 'Fe': 2, 'As': 2}",30.0,0.0,,,
Sr 4 V 2 O 6 Fe 2 As 2,{},"{'Sr': 4, 'V': 2, 'O': 6, 'Fe': 2, 'As': 2}",37.0,0.0,,,
Sr 4 V 2 O 6 Fe 2 As 2,{},"{'Sr': 4, 'V': 2, 'O': 6, 'Fe': 2, 'As': 2}",46.0,4.0,,,
Tl Ba 2 Ca 2 Cu 3 O 9-δ,{'δ': []},,125.0,0.0,,,10.1088/0953-2048/28/11/115006
Nb Si,{},"{'Nb': 1, 'Si': 1}",1.0,0.0,film,,10.1103/physrevb.87.144510
La O F e As,{'e': []},,52.0,0.0,,,10.1088/0953-8984/20/42/425203
Ca 2-x Na x Cu O 2 Cl 2,{'x': []},,26.0,0.0,,,10.1103/physrevb.63.014505
S S As,{},"{'S': 2, 'As': 1}",9.2,0.0,,,10.1088/0953-2048/26/9/095004
Nb,{},{'Nb': 1},9.2,0.0,,,10.1088/0953-2048/26/9/095004
Rb 0.74 Fe 1.6 Se 2,{},"{'Rb': 0.74, 'Fe': 1.6, 'Se': 2}",32.0,0.0,,,10.1103/physrevb.93.104522
Cd 2 Re 2 O 7,{},"{'Cd': 2, 'Re': 2, 'O': 7}",1.0,0.0,,,10.1103/physrevlett.87.187001
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",0.98,0.0,,,10.1103/physrevlett.87.187001
Cd 2 Re 2 O 7,{},"{'Cd': 2, 'Re': 2, 'O': 7}",0.97,0.0,single crystal,,10.1103/physrevlett.87.187001
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",0.97,0.0,,,10.1103/physrevlett.87.187001
Li Ti 2 O 4,{},"{'Li': 1, 'Ti': 2, 'O': 4}",13.7,0.0,,,10.1103/physrevlett.87.187001
Sr 2 Ru O 4,{},"{'Sr': 2, 'Ru': 1, 'O': 4}",1.0,0.0,,,10.1103/physrevlett.87.187001
Bi 2 Sr 2 Ca Cu 2 O 8+δ,{'δ': []},,95.0,0.0,,,10.17586/2220-8054-2015-6-6-803-824
Li Fe Se,{},"{'Li': 1, 'Fe': 1, 'Se': 1}",30.0,0.0,,,10.1103/physrevb.96.064512
Fe Se,{},"{'Fe': 1, 'Se': 1}",9.0,0.0,,,10.1103/physrevb.96.064512
Ra Fe P n O 1-x F x,"{'n': [], 'x': []}",,55.0,0.0,,,10.1143/jpsj.77.123701
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevlett.111.217003
Bi 2 Sr 2 Ca Cu 2 O 8+y,{'y': []},,70.0,0.0,,,10.1103/physrevlett.94.067002
Nb 5 Sn 2 Al,{},"{'Nb': 5, 'Sn': 2, 'Al': 1}",2.0,0.0,,,10.1088/1361-6668/ab0453
Ti 5 Sn 2 Al,{},"{'Ti': 5, 'Sn': 2, 'Al': 1}",2.0,0.0,,,10.1088/1361-6668/ab0453
Ti 5 Sn 2 Al,{},"{'Ti': 5, 'Sn': 2, 'Al': 1}",0.5,0.0,,,10.1088/1361-6668/ab0453
Nb 5 Sn 2 Al,{},"{'Nb': 5, 'Sn': 2, 'Al': 1}",2.0,0.0,,,10.1088/1361-6668/ab0453
Ca 2 Cu O 2 Cl 2,{},"{'Ca': 2, 'Cu': 1, 'O': 2, 'Cl': 2}",29.0,45.0,,,10.1088/1742-6596/97/1/012121
Ca 1.8 Na 0.2 Cu O 2 Cl 2,{},"{'Ca': 1.8, 'Na': 0.2, 'Cu': 1, 'O': 2, 'Cl': 2}",29.0,0.0,,,10.1088/1742-6596/97/1/012121
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",94.0,0.0,,,
Sr Pt 2 As 2,{},"{'Sr': 1, 'Pt': 2, 'As': 2}",5.2,0.0,,,10.1016/j.ssc.2011.12.034
Gd Fe As O,{},"{'Gd': 1, 'Fe': 1, 'As': 1, 'O': 1}",56.0,0.0,,,10.1016/j.ssc.2011.12.034
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1016/j.ssc.2011.12.034
Ba 1-x K x Fe 2 As 2,{'x': []},,38.0,0.0,,,10.1016/j.ssc.2011.12.034
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1016/j.ssc.2011.12.034
Ca 10 (Pt n As 8) (Fe 2-x Pt x As 2) 5,"{'n': [], 'x': []}",,38.0,0.0,,,10.1016/j.ssc.2011.12.034
Ca 10 (Pt 3 As 8) (Fe 2-x Pt x As 2) 5,{'x': []},,14.0,0.0,,,10.1016/j.ssc.2011.12.034
La H 10,{},"{'La': 1, 'H': 10}",16.0,40.0,,,10.1103/physrevb.100.060502
H 3 S,{},"{'H': 3, 'S': 1}",203.0,150.0,,,10.1103/physrevb.100.060502
Ni Te 2,{},"{'Ni': 1, 'Te': 2}",5.7,0.0,,,10.1126/sciadv.aav3780
W 2 N 3,{},"{'W': 2, 'N': 3}",22.0,0.0,,,10.1126/sciadv.aav3780
W 2 N 3,{},"{'W': 2, 'N': 3}",22.0,0.0,,,10.1126/sciadv.aav3780
W 2 N 3,{},"{'W': 2, 'N': 3}",22.0,0.0,,,10.1126/sciadv.aav3780
Nd 2-x Ce x Cu O 4,{'x': []},,24.0,0.0,,,10.1038/s41535-020-0208-6
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,
Y Ba 2 Cu 3 O 6.66,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.66}",60.0,0.0,,,10.1103/physrevb.74.014406
Y Ba 2 Cu 3 O 6.66,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.66}",60.0,0.0,,,10.1103/physrevb.74.014406
Sr Pt 3 P,{},"{'Sr': 1, 'Pt': 3, 'P': 1}",8.4,0.0,,,
Ca Pt 3 P,{},"{'Ca': 1, 'Pt': 3, 'P': 1}",6.6,0.0,,,
La Pt 3 P,{},"{'La': 1, 'Pt': 3, 'P': 1}",1.1,0.0,,,
Al,{},{'Al': 1},1.4,0.0,,,10.1038/nature11702
W Te 2,{},"{'W': 1, 'Te': 2}",0.73,0.0,,,10.1039/c7tc00209b
Mo S 2,{},"{'Mo': 1, 'S': 2}",11.5,0.0,,,10.1039/c7tc00209b
Eu 0.5 La 0.5 F Bi S 2,{},"{'Eu': 0.5, 'La': 0.5, 'F': 1, 'Bi': 1, 'S': 2}",2.3,0.0,,,10.7566/jpsj.85.124708
Nd O 0.5 F 0.5 Bi S 2,{},"{'Nd': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",5.0,0.0,,,10.7566/jpsj.85.124708
Nd O 0.5 F 0.5 Bi S 2,{},"{'Nd': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",20.0,0.0,single crystals,,10.7566/jpsj.85.124708
La O 0.5 F 0.5 Bi S 2,{},"{'La': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",3.0,1.0,,,10.7566/jpsj.85.124708
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,6.0,0.0,,,10.1016/s0038-1098(02)00757-3
Y Ba 2 Cu 3 O 7-δ,{'δ': []},,6.0,0.0,,,10.1016/s0038-1098(02)00757-3
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevb.78.020512
La Fe P O,{},"{'La': 1, 'Fe': 1, 'P': 1, 'O': 1}",3.3,0.0,,,10.1103/physrevb.78.020512
Pu Co Ga 5,{},"{'Pu': 1, 'Co': 1, 'Ga': 5}",18.5,0.0,,,10.1103/physrevb.78.020512
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevb.78.020512
Nd O 0.5 F 0.5 Bi S 2,{},"{'Nd': 1, 'O': 0.5, 'F': 0.5, 'Bi': 1, 'S': 2}",4.87,0.0,single crystalline,,10.1103/physrevb.90.045116
Ce Cu 2 Si 2,{},"{'Ce': 1, 'Cu': 2, 'Si': 2}",1.0,0.0,,,
Fe As,{},"{'Fe': 1, 'As': 1}",30.0,0.0,crystal,,10.1103/physrevb.80.214534
Pd 17 Se 15,{},"{'Pd': 17, 'Se': 15}",2.2,0.0,,,
Rh 17 S 15,{},"{'Rh': 17, 'S': 15}",5.4,0.0,,,
Bi 2 Sr 1.6 La 0.4 Cu O 6+δ,{'δ': []},,32.0,0.0,,,10.1103/physrevb.83.224509
Ho Ni 2 B 2 C,{},"{'Ho': 1, 'Ni': 2, 'B': 2, 'C': 1}",9.0,0.0,,,10.1063/1.4865564
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.81.214514
La 2-x Sr x Cu O 4,{'x': []},,15.0,0.0,single crystals,,10.1088/0953-2048/22/10/105012
Y 1-x Ca x Ba 2 Cu 3 O 7-δ,"{'δ': [], 'x': []}",,0.2,0.0,crystals,,10.1088/0953-2048/22/10/105012
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1088/0953-2048/14/6/304
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1088/0953-2048/14/6/304
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1088/0953-2048/14/6/304
La Fe As O,{},"{'La': 1, 'Fe': 1, 'As': 1, 'O': 1}",26.0,0.0,,,10.1103/physrevb.81.174534
Fe 2 As 2 Sr 4 Sc 2 O 6,{},"{'Fe': 2, 'As': 2, 'Sr': 4, 'Sc': 2, 'O': 6}",56.0,0.0,,,10.1103/physrevb.81.174534
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1209/0295-5075/85/57003
Ba 0.6 K 0.4 Bi O 3,{},"{'Ba': 0.6, 'K': 0.4, 'Bi': 1, 'O': 3}",32.0,0.0,,,10.1103/physrevb.68.064505
Ba 1-x Rb x Bi O 3,{'x': []},,25.0,0.0,,,10.1103/physrevb.68.064505
K 1-x Bi 1+x O 3,{'x': []},,10.0,0.0,,,10.1103/physrevb.68.064505
(Ba 1-x K x) Fe 2 As 2,{'x': []},,52.0,0.0,,,10.1143/jjap.48.013004
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.0,0.0,,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",33.0,0.0,film,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",33.0,0.0,film,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",33.0,0.0,,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",38.5,0.0,single crystals,,10.1016/j.physc.2007.02.008
Mg B 2,{},"{'Mg': 1, 'B': 2}",32.0,0.0,"thin, film",,10.1016/j.physc.2007.02.008
Ba Fe 1.89 Co 0.11 As 2,{},"{'Ba': 1, 'Fe': 1.89, 'Co': 0.11, 'As': 2}",21.7,0.0,,,10.1103/physrevlett.108.247002
La 2-δ Sr δ Cu O 4,{'δ': []},,17.0,0.0,,,
Ba Fe Ru As 2,{},"{'Ba': 1, 'Fe': 1, 'Ru': 1, 'As': 2}",20.0,0.0,,,10.1088/0953-8984/23/47/475701
Ba (Fe 0.935 Co 0.065) 2 As 2,{},"{'Ba': 1, 'Fe': 1.87, 'Co': 0.13, 'As': 2}",24.0,0.0,,,10.1103/physrevb.84.134514
Bi 2 Sr 2 Ca 2 Cu 3 O 10+δ,{'δ': []},,109.0,0.0,,,10.1103/physrevb.92.064517
Bi 2 Sr 2 Cu O 6,{},"{'Bi': 2, 'Sr': 2, 'Cu': 1, 'O': 6}",30.0,0.0,,,10.1103/physrevb.92.064517
Bi 1.5 Pb 0.6 Sr 1.54 Ca Cu 2 O 8+δ,{'δ': []},,96.0,0.0,,,10.1103/physrevb.92.064517
Bi 2+x Sr 2-x Cu O 6+δ,"{'δ': [], 'x': []}",,1.0,0.0,,,10.1103/physrevb.92.064517
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",109.0,0.0,,,10.1103/physrevb.92.064517
Bi 1.5 Pb 0.55 Sr 1.6 La 0.4 Cu O 6+δ,{'δ': []},,34.0,0.0,,,10.1103/physrevb.92.064517
Ca Cu O 2,{},"{'Ca': 1, 'Cu': 1, 'O': 2}",40.0,0.0,,,10.1103/physrevb.86.134524
Y Ba 2 Cu 3 O 6.95,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.95}",93.0,0.0,,,
Y Ba 2 Cu 3 O 6.95,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.95}",93.1,0.0,single-crystal,,
Y Ba 2 Cu 3 O 6.95,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.95}",93.1,0.0,single-crystal,,
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,0.0,,,10.1103/physrevb.72.024546
Fe Se,{},"{'Fe': 1, 'Se': 1}",27.0,1.48,,,10.1103/physrevb.79.014519
Fe Se 1-x,{'x': []},,8.0,0.0,,,10.1103/physrevb.79.014519
Fe (Se 0.5 Te 0.5) 1-x,{'x': []},,15.0,0.0,,,10.1103/physrevb.79.014519
Sr 2 Sc 0.4 Ti 0.6 Fe As O 3,{},"{'Sr': 2, 'Sc': 0.4, 'Ti': 0.6, 'Fe': 1, 'As': 1, 'O': 3}",7.0,0.0,,,10.1088/0953-2048/22/7/072001
Ca 2 Sc Fe As O 3,{},"{'Ca': 2, 'Sc': 1, 'Fe': 1, 'As': 1, 'O': 3}",37.0,0.0,,,10.1088/0953-2048/22/7/072001
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1088/0953-2048/22/7/072001
Ba Fe 2 (As 0.47 P 0.53) 2,{},"{'Ba': 1, 'Fe': 2, 'As': 0.94, 'P': 1.06}",13.9,0.0,,,
Ba Fe 2 (As 0.8 P 0.2) 2,{},"{'Ba': 1, 'Fe': 2, 'As': 1.6, 'P': 0.4}",10.0,0.0,,,
Ba (Fe 0.5 Ru 0.5) 2 As 2,{},"{'Ba': 1, 'Fe': 1.0, 'Ru': 1.0, 'As': 2}",20.0,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",51.0,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",90.0,0.0,,,
Bi 2 Sr 2 Ca Cu 2 O 8,{},"{'Bi': 2, 'Sr': 2, 'Ca': 1, 'Cu': 2, 'O': 8}",51.0,0.0,,,
La 1.68 Eu 0.2 Sr 0.12 Cu O 4,{},"{'La': 1.68, 'Eu': 0.2, 'Sr': 0.12, 'Cu': 1, 'O': 4}",5.0,0.0,,,10.1063/1.470765
Li,{},{'Li': 1},20.0,40.0,,,10.1103/physrevlett.96.047004
Li,{},{'Li': 1},14.0,0.0,,,10.1103/physrevlett.96.047004
Mg B 2,{},"{'Mg': 1, 'B': 2}",40.0,40.0,,,10.1103/physrevlett.96.047004
In,{},{'In': 1},3.4,0.0,,,10.1063/1.3459895
In,{},{'In': 1},3.4,0.0,,,10.1063/1.3459895
Ba (Fe 1-x Co x) 2 As 2,{'x': []},,24.5,0.0,single crystals,,10.1103/physrevlett.105.237002
K Fe 2 As 2,{},"{'K': 1, 'Fe': 2, 'As': 2}",3.0,0.0,,,10.1103/physrevb.98.024501
Er 1-x Ca x Ba 2 Cu 3 O z,"{'z': [], 'x': [0.25]}",,74.1,0.0,,,10.1016/j.physc.2006.01.002
Ba (Fe 1-x Co x) 2 As 2,{'x': []},,18.1,0.0,film,,10.1016/j.physc.2016.11.014
Nb,{},{'Nb': 1},8.3,0.0,film,,10.1016/j.physc.2016.11.014
Mg B 2,{},"{'Mg': 1, 'B': 2}",39.0,0.0,,,10.1103/physrevb.64.134513
Eu Fe 2 (As 1-x P x) 2,{'x': [0.2]},"{'Eu': 1, 'Fe': 2, 'As': 1.6, 'P': 0.4}",25.0,0.0,,,10.1134/s0021364019080137
Rb Eu Fe 4 As 4,{},"{'Rb': 1, 'Eu': 1, 'Fe': 4, 'As': 4}",36.0,0.0,polycrystalline,,10.1134/s0021364019080137
Sc 3 Co C 4,{},"{'Sc': 3, 'Co': 1, 'C': 4}",4.5,0.0,,,10.1088/1742-6596/273/1/012083
Fe Se,{},"{'Fe': 1, 'Se': 1}",8.0,0.0,,,10.1209/0295-5075/104/37010
Y Ba 2 Cu 3 O 6.5,{},"{'Y': 1, 'Ba': 2, 'Cu': 3, 'O': 6.5}",50.0,0.0,,,
Li 2 Pd 3 B,{},"{'Li': 2, 'Pd': 3, 'B': 1}",6.7,0.0,,,10.1103/physrevb.82.184525
Tm Ni 2 B 2 C,{},"{'Tm': 1, 'Ni': 2, 'B': 2, 'C': 1}",11.0,0.0,,,10.1103/physrevb.67.014526
U Co Ge,{},"{'U': 1, 'Co': 1, 'Ge': 1}",3.0,0.0,,,10.1103/physrevlett.103.097003
Nb Se 2,{},"{'Nb': 1, 'Se': 2}",7.0,0.0,,,10.1103/physrevb.76.212504
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",0.4,0.0,,,10.1103/physrevlett.120.237002
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",0.28,0.0,,,10.1103/physrevlett.120.237002
Sr Ti O 3,{},"{'Sr': 1, 'Ti': 1, 'O': 3}",0.4,0.0,,,10.1103/physrevlett.120.237002
C N s,{'s': []},,1.0,0.0,,,10.1088/0953-8984/19/39/395016
