Material,Substitutions,Composition,Tc (K),Pressure (GPa),Shape,Substrate,DOI
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.63,0.0,single crystal,,10.1143/jpsj.76.114708
Ce Pt 3 Si,{},"{'Ce': 1, 'Pt': 3, 'Si': 1}",0.75,0.0,,,10.1143/jpsj.76.114708
Nb N,{},"{'Nb': 1, 'N': 1}",16.0,0.0,films,,10.1103/physrevb.93.180511
Bi 2 Se 3,{},"{'Bi': 2, 'Se': 3}",3.8,0.0,,,10.7566/jpsj.82.063702
Mo 3 Sb 7,{},"{'Mo': 3, 'Sb': 7}",2.35,0.0,,,10.1103/physrevb.87.104515
Mo 3 Sb 7,{},"{'Mo': 3, 'Sb': 7}",2.08,0.0,,,10.1103/physrevb.87.104515
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1103/physrevlett.108.047001
Ce Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1103/physrevlett.108.047001
Pr Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1103/physrevlett.108.047001
Nd Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1103/physrevlett.108.047001
Sm Fe As O 1-x F x,{'x': []},,55.0,0.0,,,10.1103/physrevlett.108.047001
Ti,{},{'Ti': 1},3.5,0.0,,,
U Ru 2 Si 2,{},"{'U': 1, 'Ru': 2, 'Si': 2}",1.45,0.0,,,10.1103/physrevlett.100.037004
La Fe As O 1-x F x,{'x': []},,26.0,0.0,,,10.1143/jpsjs.80sa.sa121
Cs 3 C 60,{},"{'Cs': 3, 'C': 60}",38.0,7.0,,,10.1038/nphys4288
K 3 C 60,{},"{'K': 3, 'C': 60}",20.0,0.0,,,10.1038/nphys4288
K 3 C 60,{},"{'K': 3, 'C': 60}",20.0,0.0,,,10.1038/nphys4288
Nd Fe As O 1-x F x,{'x': [0.18]},"{'Nd': 1, 'Fe': 1, 'As': 1, 'O': 0.8200000000000001, 'F': 0.18}",50.0,0.0,,,10.1103/physrevb.92.134509
Nd Fe As O 1-x F x,{'x': []},,34.0,0.0,,,10.1103/physrevb.92.134509
